scorer,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie
individuals,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
bodyparts,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9675479833267193,0.9909999966621399,,,0.16196604582443477,0.9959999918937683,2.6842624685376872,0.9990000128746033,2.586028808810913,0.9980000257492065,10.826199009809475,0.9990000128746033,5.725054584892598,0.9980000257492065,1.4192730533621845,1.0,1.4471579043076057,0.9639999866485596,3.7037019318514455,1.0,2.1265154596193185,0.9990000128746033,4.0188049218641995,1.0,1.5135256852792494,1.0,3.674858500677293,1.0,5.371402517034062,1.0
1,2.6589509209460527,0.9990000128746033,,,4.886639029025975,0.9670000076293945,,,8.461040125185544,1.0,6.340866817715062,1.0,4.343721215731992,1.0,5.306528055141133,0.996999979019165,,,15.692163649414317,0.9980000257492065,1.3013992469645908,0.9990000128746033,2.5018403226425194,1.0,2.6553289815011585,1.0,3.342033063869949,1.0,1.3611337186331096,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1082355345322732,0.9509999752044678,,,3.0058291701292386,0.9959999918937683,2.9258643167447227,0.9959999918937683,0.4593038210161287,0.9980000257492065,0.5243443525013148,0.9980000257492065,5.4334880141581285,0.9929999709129333,3.8071318600752515,0.996999979019165,,,3.467005191804577,0.996999979019165,,,2.8246396230315782,1.0,3.0309782249300317,1.0,1.3581848180567961,1.0,2.358954217444682,1.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.432733802021005,0.453000009059906,,,,,7.349283638559602,0.9020000100135803,3.1463350107704766,0.996999979019165,9.345558570786428,0.7350000143051147,3.3653940333934216,0.996999979019165,3.3408419597460504,1.0,2.660712874400397,1.0,2.1917675515437396,1.0,4.900238871728588,1.0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.631183002824271,0.984000027179718,,,3.712832072690583,0.9570000171661377,,,1.9776369737643715,0.9990000128746033,3.3721874206514633,0.9990000128746033,2.1590333485150235,0.9959999918937683,2.669877338006401,0.9929999709129333,,,5.434517549884237,0.9990000128746033,,,5.45485187699906,1.0,3.671923746484948,1.0,3.047255978745481,1.0,3.566865570777814,1.0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4344306619012975,0.996999979019165,,,3.0749455279728015,0.9959999918937683,,,2.8175870882725262,1.0,3.7378630258478114,0.9990000128746033,1.8552498484031688,0.9990000128746033,0.3184273857569367,0.9929999709129333,,,3.613279120134524,0.996999979019165,1.923818338617235,0.9990000128746033,,,7.164303874068996,0.9940000176429749,1.505980411559189,0.9980000257492065,1.361459878218985,1.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4478191657916346,0.996999979019165,,,5.34968457014058,0.9990000128746033,,,0.6343413907352825,0.9990000128746033,3.828974275181272,0.9980000257492065,3.2752479295467083,0.9980000257492065,2.3568633817003306,0.9959999918937683,,,2.225410074570491,1.0,3.7401840863786506,1.0,3.3073932333486,1.0,1.1850299574272432,1.0,1.3660014641280442,1.0,4.133802123953222,1.0
