scorer,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur,Mostafizur
individuals,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,end1,end1,end2,end2,interm1,interm1,interm2,interm2,interm3,interm3,end1,end1,end2,end2,interm1,interm1,interm2,interm2,interm3,interm3,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,,,,,,,,,,,,,,,,,,,,,13.241542993053562,0.8899999856948853,37.89585519792501,0.9890000224113464,39.02189435624123,0.9700000286102295,,,40.07058047784303,0.9950000047683716,38.22343245138195,0.9940000176429749,32.80458684916912,0.41600000858306885,20.771883676062217,0.9729999899864197,1.527558850162975,1.0,3.8120624392061995,0.9990000128746033,3.719030371363326,1.0,6.385378358632933,1.0
1,,,,,,,,,,,,,,,,,,,,,3.3260254126136135,1.0,0.6552622155788497,1.0,0.66438731388455,1.0,,,1.6640189794374671,1.0,1.3799714784340913,1.0,2.8013070532084186,1.0,0.8832808026752782,1.0,2.610037192087359,1.0,1.4418908406960922,1.0,2.6732885773098727,1.0,2.652168458732701,1.0
2,,,,,,,,,,,1.9887792152017771,1.0,1.5942883322969683,1.0,0.8499974094194669,1.0,2.076386713353583,1.0,3.199414566089626,1.0,1.808866045746828,1.0,1.6869905609725109,1.0,2.769756594908977,1.0,0.5840448447644412,1.0,2.2498424830535826,1.0,3.963816317023637,1.0,0.9519020643880844,1.0,4.223027866996389,1.0,3.789368422047751,1.0,0.8195010184709073,1.0,3.7526773778900537,1.0,3.611801104362641,1.0
3,0.9289194645393393,1.0,2.324126226499754,1.0,0.4688527867388919,1.0,3.8174417143104,0.9990000128746033,0.879341854677966,1.0,,,,,,,,,,,4.833588497534515,1.0,2.3976790010709017,1.0,3.5193029301994723,1.0,,,1.0006689589678948,1.0,2.789824896115547,1.0,3.7364678552409316,1.0,2.3792953865873963,1.0,2.350480391264416,1.0,1.8822871267799195,1.0,3.229579391531214,1.0,2.43896452895958,1.0
4,1.6225316564703411,1.0,2.640565046688763,1.0,0.8710327027739387,1.0,4.271951968815595,1.0,2.299884219557121,1.0,,,,,,,,,,,0.36929870605658816,1.0,0.8496070469588064,1.0,1.7034728640574777,1.0,1.365265240613577,1.0,0.8068691091054297,1.0,2.858419504720168,1.0,1.5583955452193314,1.0,4.717438047170154,1.0,2.743970017502332,1.0,1.755473265294976,1.0,1.5433959929425123,1.0,3.0117322566229427,1.0
5,9.560003631091824,0.8119999766349792,46.623115051035036,0.8629999756813049,5.812678243206993,0.4970000088214874,5.119890436710623,0.8009999990463257,25.441431821290234,0.9760000109672546,,,,,,,,,,,7.565161810219173,1.0,7.3429154950162445,1.0,5.936257748083675,1.0,3.068313979160391,1.0,6.227255277901026,1.0,9.635426471840026,1.0,9.840492497334695,1.0,5.076412307201555,1.0,1.0788110941541105,1.0,15.494997372373387,0.9020000100135803,3.175692703042745,1.0,6.866347505170605,1.0
6,7.645349014579755,1.0,,,5.284774392671256,1.0,4.777696729119598,1.0,2.723536941093494,0.9990000128746033,,,,,,,,,,,4.506822748406841,1.0,2.325920349317711,1.0,2.689786759673528,1.0,1.9965118241671798,1.0,4.648056857925473,1.0,8.344186393688886,1.0,9.730919547749913,1.0,6.615812246328345,1.0,7.827718004012402,1.0,2.7112302198357217,1.0,4.014471167098477,1.0,6.600598098688502,1.0
