scorer,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel
individuals,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3
bodyparts,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,1.3500306879734416,1.0,1.9985037282330071,1.0,0.8331279916906128,1.0,4.474689818333902,1.0,0.2889626794853407,1.0,2.6565359975803298,1.0,1.7943511688600564,1.0,0.24144205631322266,1.0,1.132070309622512,1.0,0.501322544352924,1.0,0.8512039376875651,1.0,0.4834294390790627,1.0,1.4581685736088414,1.0,1.25967359982308,1.0,3.4288058835315582,1.0,1.2598001399456837,1.0,1.1901080140779041,1.0,2.7240493297933273,1.0,1.9449385081453066,1.0,2.244377645066755,1.0,0.7489882055385076,1.0,1.3541629823700236,1.0,1.5715318713669713,1.0,0.5496538259824554,1.0,1.495878527788513,1.0,0.1572386537193172,1.0,2.0233413086840435,1.0,2.302637592726549,1.0,2.146280950430139,1.0,3.904174833414639,1.0,1.425440769818083,1.0,,,,,1.9878626878014045,1.0,,,0.9030203070553706,1.0
1,1.7222728443094613,1.0,0.3026443386845725,1.0,3.4651204324253317,1.0,0.24949816305733832,1.0,3.999976846216997,1.0,5.959616760196811,1.0,4.595980561104784,1.0,5.246643147717611,1.0,4.342653581801129,1.0,4.858261375743155,1.0,3.4394566527852293,1.0,3.8073452854730876,1.0,1.1740016363069419,1.0,0.3662160563239928,1.0,1.4516954287142012,1.0,3.7590409852465285,1.0,3.399532839743739,1.0,8.033277161267497,1.0,5.180009978839813,1.0,3.5163660066301925,1.0,10.99533192029971,1.0,7.745993487060298,1.0,1.3634911625046053,1.0,1.2814706434295522,1.0,5.328419102285681,1.0,3.8141931163652383,1.0,2.7790433982700624,1.0,7.4366447046616315,1.0,9.65607862842499,1.0,8.35053391525448,1.0,,,,,,,,,,,,
2,2.7544451187927095,1.0,0.13955411233331258,1.0,0.8467938310326899,1.0,1.750415080775325,1.0,0.10090535894697991,1.0,0.81641241174764,1.0,1.7220149328880798,1.0,1.129540496773043,1.0,1.747942687425561,1.0,2.885797853686031,1.0,0.5444459658076538,1.0,1.2149085922591387,1.0,2.004088707532783,1.0,4.479083542872222,1.0,1.847761239526923,1.0,3.1223053736876563,1.0,1.3097380007750432,1.0,1.7464831657276652,1.0,0.3562041065868468,1.0,1.8112355126116906,1.0,1.891424128635419,1.0,0.47394628319490845,1.0,2.2243990717399598,1.0,0.7054252713833025,1.0,2.6661352557857882,1.0,4.422580395973583,1.0,2.5486369365853183,1.0,1.7254307344064166,1.0,1.686048824279393,1.0,0.6622083774172327,1.0,3.7292204275363594,1.0,0.14496448706033896,1.0,4.064847909936525,1.0,2.263847179642949,1.0,2.2802420114188684,1.0,0.8744956962159797,1.0
3,2.4692485822567827,1.0,3.5655962803716252,1.0,2.7223846179973568,1.0,2.6480297533469566,1.0,0.9088755869561542,1.0,1.8338272920244847,1.0,2.9142648800502884,1.0,3.1112103262089748,1.0,1.725262499842414,1.0,4.503858143978901,1.0,1.2618037213927586,1.0,2.913511172721153,1.0,2.0512251081545525,1.0,1.8578058726148836,1.0,2.918536363822858,1.0,2.7954216235758516,1.0,0.5257264258429748,1.0,1.014946093785102,1.0,1.157254865283914,1.0,0.7444762896588422,1.0,0.919686828991653,1.0,2.667176638645715,1.0,1.8292900321504753,1.0,1.1100499120603482,1.0,0.8857865546014557,1.0,2.923236063169725,1.0,2.739897319430772,1.0,1.6019345676501966,1.0,1.578642160686828,1.0,2.02455031651063,1.0,1.833691948402328,1.0,1.4950365222836701,1.0,2.394946679374992,1.0,1.8290473136843692,1.0,1.0022608423201926,1.0,1.3888986071216685,1.0
4,2.433669374610129,1.0,2.494688538013222,1.0,1.8962238208579119,1.0,2.582225533972763,1.0,1.7160249355249075,1.0,1.3869518653191737,1.0,3.2751981630852507,1.0,2.8632612956088717,1.0,2.341041121100365,1.0,1.24396573100132,1.0,0.22822201690323157,1.0,0.8190848682642011,1.0,0.38472853284403824,1.0,1.5306824490639208,1.0,3.0247179479922384,1.0,2.1592655413389408,1.0,2.0376634555465865,1.0,1.8737700396846138,1.0,4.3680257107757985,1.0,0.6668656676142942,1.0,2.6249784198839414,1.0,2.2571588573887396,1.0,0.9112532773310112,1.0,1.5299468580210451,1.0,1.2645247243684206,1.0,2.6683928923099067,1.0,0.5630493180575292,1.0,0.5951248158196683,1.0,3.518283472497616,1.0,1.5712385965854143,1.0,1.2959459188671656,1.0,1.9269300545362953,1.0,2.5932230863237473,1.0,1.1409029962508805,1.0,2.2016935300903033,1.0,2.2772105718499542,1.0
5,3.7771175686457275,1.0,2.200017360361245,1.0,0.8396192678106447,1.0,2.5178426182435674,1.0,1.8386124865519065,1.0,3.124156353064609,1.0,2.8415751521819326,1.0,0.9669553125893062,1.0,5.184160043090155,1.0,3.836232111987488,1.0,1.9248044360816317,1.0,1.293775864748775,1.0,2.6953554121084125,1.0,2.214404847745566,1.0,5.318191816784129,1.0,3.1797408143075927,1.0,7.842427997525018,1.0,3.4445755618961007,1.0,1.4793331956731839,1.0,1.310888555306576,1.0,2.4777723489275028,1.0,4.554686396105052,1.0,1.4033536207486155,1.0,5.37902944147536,1.0,1.5927775085783766,0.8500000238418579,26.63774674794082,0.9259999990463257,7.539704684885304,0.9620000123977661,,,4.346430532985089,1.0,7.9236635808197216,1.0,6.5836362501615175,1.0,2.8393414592111137,1.0,5.094052006308608,1.0,5.604761867096493,1.0,2.731287737628357,1.0,2.893802618285574,1.0
6,1.6815928838391234,1.0,1.491319353248026,1.0,2.7774669774709104,1.0,1.7798920639701783,1.0,1.2882895847202926,1.0,3.2440650522960746,1.0,1.0509351476273772,1.0,2.757562563269416,1.0,1.608401348406911,1.0,3.0821441813318105,1.0,3.9644340730843948,1.0,1.7758781987539125,1.0,3.0728436808367494,1.0,1.152417651462376,1.0,1.6485359710936078,1.0,1.3046997617260334,1.0,3.2851081123789974,1.0,1.7232060432032943,1.0,2.681176122545068,1.0,0.5035394389823918,1.0,1.9128854628902494,1.0,2.9625521122798797,1.0,2.308805310171915,1.0,3.6031789600626056,1.0,0.8658295638561736,1.0,0.6348286013513628,1.0,1.259251327972986,1.0,0.4172158270233768,1.0,0.5248518462297708,1.0,1.5666007168763365,1.0,1.6439515607394908,1.0,0.8514821771087078,1.0,2.2397027974478654,1.0,1.0794924377253443,1.0,0.44291820663427944,1.0,0.6637270147928167,1.0
