scorer,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,cond
individuals,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,
bodyparts,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,
0,13.94064141478465,0.5860000252723694,,,7.018055302141158,0.7310000061988831,14.13932165201488,0.9909999966621399,,,,,,,10.328018515542722,0.9959999918937683,,,4.072814229328347,0.8230000138282776,,,12.878111376991626,0.7490000128746033,,,1.482148659956958,0.9470000267028809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.495701224776929,1.0,2.222626453488396,0.9980000257492065,11.568415757843038,0.9980000257492065,2.2018384441765577,0.9990000128746033,6.7643061187639235,0.9959999918937683,5.27799847609656,1.0,2.895971684798948,1.0,4.559414203676711,0.9990000128746033,,,6.604502314085775,0.9990000128746033,4.645401897958557,0.13199999928474426,6.901182825234215,0.9940000176429749,,,17.924141932875298,0.9919999837875366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
1,28.36167202206129,0.8820000290870667,,,12.561675059403822,0.19599999487400055,68.76761434361109,0.17599999904632568,,,,,,,45.94979187404549,0.4399999976158142,,,23.706839514882642,0.9240000247955322,,,22.51382718563601,0.8840000033378601,,,27.03407169997562,0.972000002861023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7766556024596385,0.9900000095367432,,,13.190385992326782,0.9509999752044678,4.222998120140261,1.0,0.9267741323755829,1.0,3.3371358183085653,1.0,4.802803981885634,1.0,6.097602721604134,1.0,,,12.809624132067636,0.9390000104904175,1.7128659906987518,1.0,22.823454403038667,0.8539999723434448,,,6.5863893390928485,0.7749999761581421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.600156230800438,0.9940000176429749,,,12.838011597307421,0.996999979019165,9.056393597773807,0.9319999814033508,7.461850098027219,0.9860000014305115,5.386081445847875,0.9980000257492065,5.914832690926792,0.828000009059906,8.896583382295413,1.0,,,8.590195457343777,0.9419999718666077,,,29.183740819718718,0.9909999966621399,,,13.583808798830935,0.9869999885559082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.544420133602909,0.9900000095367432,,,10.353305815849515,0.906000018119812,3.8653161247330377,0.24400000274181366,,,5.079033914840382,0.7239999771118164,7.356464929673477,0.996999979019165,8.336190101355953,0.8700000047683716,69.45994977642505,0.0560000017285347,15.875562848432851,0.9779999852180481,,,30.184270446273295,0.9419999718666077,2.7648257590609764,0.5849999785423279,5.738937678184727,0.9810000061988831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.177295163488891,0.9819999933242798,22.068410572489906,0.03700000047683716,7.168919708022918,0.3059999942779541,19.99962289914813,0.7039999961853027,,,,,,,2.7667069310115435,0.8009999990463257,,,3.8236497005633727,1.0,,,3.9840305942476077,0.9940000176429749,,,8.87590392186618,0.9959999918937683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
5,23.07089192237054,0.5649999976158142,1.7891881721581775,0.12800000607967377,22.27047493679997,0.9440000057220459,13.288514873982962,0.9980000257492065,,,6.816231801925642,0.4099999964237213,3.981142832896449,0.9869999885559082,18.03438935612591,0.4620000123977661,,,35.3482409596827,0.9539999961853027,,,6.616942085979711,0.34700000286102295,,,12.665128280517976,0.7839999794960022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.811067589476885,0.8700000047683716,,,4.118107037440617,0.9929999709129333,9.85902335963292,0.996999979019165,3.523149356087106,0.9789999723434448,0.7848156643734898,0.9919999837875366,9.317226640463085,0.8569999933242798,12.974011959428053,0.9959999918937683,,,13.957787203400585,0.5090000033378601,5.111731841414194,0.9990000128746033,16.510766089693025,0.24799999594688416,,,2.9091577889848184,0.27300000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.648862514094413,0.9890000224113464,9.166890441331619,0.9850000143051147,3.878649317531654,0.972000002861023,0.9384620316832879,0.9779999852180481,2.619699876775854,1.0,5.8491265043418235,1.0,5.498480873951557,1.0,3.3479639160608006,0.9860000014305115,,,5.175555273748754,0.9940000176429749,1.5850883552008854,1.0,6.930826505288093,0.9810000061988831,,,10.175028751065145,0.984000027179718,7.599583108530744,0.6439999938011169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
